pickup_x,pickup_y,dropoff_x,dropoff_y,pickup_sec
10,14,10,13,53025
11,14,10,13,43070
11,13,10,14,72668
8,10,8,11,52013
9,11,10,12,32421
9,12,9,13,46075
10,13,11,13,66235
10,14,10,13,42112
9,11,9,11,46153
9,12,9,12,56154
11,13,10,13,46508
10,12,9,13,37708
9,11,10,11,7443
9,12,10,13,4435
9,11,9,11,35405
10,13,10,12,69834
10,13,10,14,58912
10,13,10,14,58873
9,12,10,12,79384
9,12,10,12,46237
10,12,10,13,58725
9,13,9,12,40690
10,13,10,13,36999
9,12,10,14,66334
9,11,9,11,82055
9,12,9,9,82490
10,13,10,13,54452
9,11,10,12,31616
9,11,10,12,28660
9,12,10,13,48907
9,11,8,10,49685
9,11,10,12,51833
10,12,9,11,37619
10,13,9,12,43324
10,12,10,13,62349
9,11,10,14,38558
10,13,10,13,72443
9,12,9,12,31947
10,14,10,13,38685
9,12,10,12,64290
8,10,9,12,38185
9,12,9,12,42097
9,9,9,9,3670
13,13,14,12,47645
9,12,9,11,67783
9,13,9,12,35161
11,14,11,13,78702
10,12,10,12,44036
11,13,10,13,66864
9,12,9,10,53971
10,13,10,13,45388
8,10,9,10,57096
16,7,13,8,61080
9,12,9,10,80399
9,12,8,10,52926
10,12,9,11,57709
13,13,9,11,46114
16,7,9,11,47106
10,13,10,12,50428
9,12,10,12,65633
10,13,9,11,53202
10,12,9,12,76769
10,13,10,12,69227
10,13,10,12,85310
8,10,9,11,47499
10,13,9,13,63762
10,12,9,11,60252
9,11,9,12,12863
10,13,9,12,53509
9,13,10,13,42809
10,13,10,12,29371
10,13,10,13,54756
10,13,10,12,65092
9,12,9,11,29806
10,13,10,12,45763
9,11,9,12,6754
9,13,9,13,53766
10,13,11,14,79421
9,11,10,13,4528
9,12,9,12,65264
9,11,11,13,81952
10,12,10,13,34854
11,13,13,13,64792
13,13,13,13,39556
10,14,10,14,63609
13,13,9,12,55669
9,13,9,12,70064
10,13,10,11,68766
9,11,10,12,57212
9,12,9,11,84067
10,13,10,14,59810
10,13,10,13,66104
11,6,11,8,30327
10,13,10,13,54681
11,13,10,13,60676
9,12,10,12,5947
9,11,11,14,42944
10,12,10,13,44075
11,13,10,13,30457
11,13,11,13,67893
9,11,9,12,73513
10,13,10,13,63183
10,13,12,12,35577
10,13,10,12,68626
9,12,9,12,27038
10,11,10,11,40792
10,13,16,7,38474
9,11,9,12,39652
9,12,9,12,52686
10,12,11,14,67901
9,11,9,13,2277
9,13,10,13,79689
9,12,9,10,80769
9,11,9,11,31502
9,12,9,13,71182
10,12,9,12,29777
9,8,10,9,80594
13,13,13,13,39029
11,13,10,13,65166
13,13,9,9,70217
10,13,10,13,62656
10,12,10,13,63182
10,13,10,14,27729
9,10,9,12,10615
16,10,9,13,48204
11,14,11,14,55762
9,11,10,12,39127
9,13,10,13,42220
10,13,9,11,46887
9,10,9,13,83875
9,12,10,12,46929
10,14,9,13,56593
9,11,9,12,82496
11,13,9,12,75439
9,12,9,11,3873
10,12,9,11,76159
9,12,10,12,55839
10,13,10,12,34525
9,12,9,12,61251
10,10,12,11,85693
10,13,9,12,81701
9,12,9,12,69658
9,12,9,12,73659
10,12,10,13,71426
14,11,9,12,64113
9,11,10,7,78332
10,13,9,13,63837
9,12,9,13,69139
10,12,10,13,28206
9,10,10,13,82410
9,12,9,12,72298
10,11,9,11,78932
9,13,10,13,83820
9,11,9,12,55517
10,13,11,16,28078
10,12,9,12,34452
9,10,9,13,53186
10,13,11,13,67544
10,12,10,12,59198
9,12,9,12,55067
11,13,10,13,49724
10,12,9,12,26955
9,13,9,12,66484
10,13,10,13,64040
9,13,9,12,62860
8,10,8,10,68131
10,13,10,13,80843
9,12,11,13,42986
10,13,10,13,25575
13,13,14,11,57284
11,13,11,14,20957
9,12,9,13,52474
9,11,9,11,84331
9,10,10,10,81738
10,13,10,13,43534
9,13,8,10,83886
9,12,9,11,68558
10,12,10,13,65989
9,12,9,12,35684
13,13,10,12,3411
9,12,10,12,14181
10,13,10,14,36150
9,12,9,13,64673
10,13,10,13,64886
9,11,10,12,64153
9,12,9,12,35334
10,13,10,13,54823
9,11,9,11,82786
9,12,9,11,53277
9,12,9,13,50898
9,10,8,6,61464
9,12,10,13,64463
8,10,8,10,81932
10,13,9,11,79107
9,12,9,8,80223
10,13,10,13,43765
9,12,9,13,50083
10,12,10,11,63546
9,12,9,11,85545
10,14,9,13,71212
8,11,9,10,50870
9,11,9,11,54670
10,13,9,13,33025
9,11,9,12,63515
9,11,8,11,30840
10,14,12,18,65431
9,10,9,10,47446
16,12,16,13,48690
10,13,10,13,66049
10,13,9,11,42502
10,13,10,12,40520
13,13,10,10,71104
9,12,10,13,54737
9,11,9,12,74066
10,13,9,13,62656
13,13,9,11,44471
16,7,11,12,84436
11,13,10,13,72780
13,13,11,11,42589
9,11,9,11,74035
10,13,10,13,53480
10,13,9,12,26198
10,12,9,12,34061
10,13,10,12,41400
13,13,10,13,73456
9,12,9,13,63432
10,12,11,11,37622
14,12,11,11,53222
9,11,9,11,83388
9,13,9,12,71328
10,14,9,13,36699
10,12,10,12,45800
16,7,11,9,81134
10,13,10,13,41277
9,12,10,12,82995
10,12,10,12,41806
9,13,9,12,57771
9,11,10,12,35656
9,11,9,11,60316
9,11,9,9,4158
10,14,9,12,38626
9,12,9,11,59542
10,13,11,14,836
9,12,10,13,42683
10,13,10,12,49106
10,12,13,13,46068
9,11,9,10,2856
10,13,10,12,59981
10,13,10,12,61603
10,13,9,12,79941
10,13,10,13,84018
16,7,10,12,51382
8,10,9,11,76506
9,12,9,11,72829
11,13,13,13,18316
10,12,15,12,78158
9,12,9,12,23768
9,12,10,13,71012
9,12,8,10,64227
8,10,9,12,59284
9,11,10,13,55683
10,12,10,11,38423
10,12,10,12,48583
10,13,10,13,58709
10,13,10,13,47497
10,13,10,13,40795
9,12,9,13,71634
9,12,8,11,65456
9,12,10,13,77569
10,13,11,13,38681
10,13,10,12,71600
9,12,16,13,37769
10,12,9,10,80052
10,13,10,13,49379
9,13,10,13,56794
10,13,10,13,51038
10,13,10,13,54398
10,12,10,12,58632
9,13,10,14,48853
9,12,10,13,39686
9,13,10,12,33139
10,13,11,14,73028
9,13,9,12,43850
9,12,9,13,22415
10,13,10,13,78697
9,11,9,13,26965
11,13,10,13,32556
10,13,10,13,49437
10,11,11,13,80308
9,12,10,13,74597
9,12,9,12,24753
9,12,10,13,47577
9,11,10,12,67508
9,11,9,11,5076
9,13,9,12,57388
10,12,11,14,65570
11,14,9,13,31398
9,11,8,10,50473
9,11,10,12,52509
9,12,9,13,54408
16,7,10,12,58714
10,12,9,11,59455
9,11,10,12,69146
10,12,10,13,58723
9,12,9,12,60858
9,12,10,12,83679
10,14,10,12,83845
10,13,13,10,17509
9,12,9,12,1138
9,11,9,11,53602
10,13,10,12,48313
9,12,9,12,74005
9,13,10,14,62482
10,13,9,9,81533
9,12,9,12,80520
9,12,9,11,62918
10,13,9,12,49053
